Sr No,date,startup,vertical,city,investors,round,amount
2191,2015-12-24,Kolabro,Real Estate focused Tech platform,Gurgaon,"Umang Kumar, Ruchir Arora & others",Seed Funding,0
2192,2015-12-24,Canvera,Photographer Online search & booking platform,Bangalore,Info Edge (India) Ltd,Private Equity,2200000
2193,2015-12-28,Town Essentials,Grocery Delivery platform,Bangalore,"Sharad Hegde, Girish Reddy, Siddharth Patil, Shrikant Patil",Seed Funding,1000000
2194,2015-12-28,Bumper,Mobile Car Servicing appointment app,Bangalore,SAIF Partners,Seed Funding,500000
2195,2015-12-29,Hotify,New Curation Mobile App,Bangalore,Mahavir Pratap Sharma,Seed Funding,150000
2196,2015-12-29,MobiKwik,Mobile Wallet,Gurgaon,"Sequoia Capital, Tree Line Asia, Innoven Capital",Private Equity,6600000
2197,2015-12-30,Intelligent Interfaces,Interface development platform for Government officials,Bangalore,Yuvraj Singh,Seed Funding,0
2198,2015-02-11,Twigly,Online Food Ordering & Delivery platform,Gurgaon,"Amit Gupta, Sahil Barua, Mukul Singhal, Tracxn Labs",Seed Funding,200000
2199,2015-02-11,CityFlo,Bus Aggregation and rental mobile app,Mumbai,IDG Ventures,Seed Funding,750000
2200,2015-03-11,Findyahan,hyperlocal online Services platform,Noida,Times Group Brand Capital,Private Equity,0
2201,2015-03-11,Sabse,WiFi \xe2\x80\x93 first Cloud communication platform,Mumbai,Ratan Tata,Private Equity,0
2202,2015-03-11,Pokkt,Alternate Mobile Monetization platform,Mumbai,"Segnel Venture, Shinji Kimura, Sundar Chanrai, JAFCO Asia, SingTel\\xe2\\x80\\x99s Innov8, Jungle Ventures, K Ganesh",Private Equity,5000000
2203,2015-03-11,oibanit,Online Food Ordering Marketplace,Vadodara,"Varun Ahuja, Anubhav Verma",Seed Funding,150000
2204,2015-03-11,Stuffed,Quick Service Restaurant & Online Delivery,Mumbai,Riqueza Capital,Seed Funding,385000
2206,2015-03-11,Deyor Rooms,Budget Hotels Aggregator,New Delhi,Dheeraj Jain & Others,Seed Funding,500000
2207,2015-03-11,Bidgely,Efficient Energy Management platform,USA/India,"Constellation Technology Ventures (Exelon Corporation), E.ON, RWE, Khosla Ventures",Private Equity,16600000
2208,2015-04-11,Shirsa Labs,Digital Intelligent learning platform,Mumbai,ah! Ventures,Seed Funding,250000
2209,2015-04-11,Paytunes,Voice Call incentivization mobile app,New Delhi,CIO Angel Network,Seed Funding,0
2210,2015-04-11,YourDOST,Online Counselling and psychological support platform,Gwalior,"Phanindra Sama, Aprameya Radhakrishna, Aneesh Reddy, Neeraj Jawalkar, Sanjay Anandaram, Pavan Ongole, Venk Krishnan",Seed Funding,400000
2211,2015-05-11,BookMyBai,Domestic Help Aggregation platform,Mumbai,Vineel Nalla & Others,Seed Funding,150000
2212,2015-05-11,MyIndianStay,Home Stay & room rentals platform,Goa,Undisclosed investors,Seed Funding,200000
2213,2015-05-11,Bobble,Selfie Mobile App,New Delhi,SAIF Partners & others,Private Equity,0
2214,2015-06-11,RepUp,Online Reputation Management Platform,Gurgaon,Indian Angel Network,Seed Funding,0
2215,2015-06-11,Satvacart,Online Grocery platform,Gurgaon,Undisclosed HNIs,Private Equity,1800000
2216,2015-06-11,POPxo.com,Online content platform for women,New Delhi,"IDG Ventures India, Kalaari Capital, 500 Startups",Private Equity,2000000
2217,2015-06-11,SparesHub,Online Vehicle Spare Parts etailer,Pune,"Hyderabad Angels, M&S Partners",Seed Funding,460000
2218,2015-06-11,Explara,Event Ticketing platform,Pune,"Hyderabad Angels, Singapore Angel Network, Ness Wadia",Private Equity,490000
2219,2015-06-11,Soothe Healthcare,affordable Personal Healthcare Products,Noida,Saina Nehwal,Seed Funding,0
2220,2015-06-11,Yuvi Hospitality,Premium dining Lounges & restaurants,Gurgaon,Chandralekha Construction Pvt. Ltd.,Private Equity,15000000
2221,2015-09-11,AppVirality,Mobile Growth Hacking\\nPlatform,Hyderabad,"Rajan Anandan, Mike Galgon, Ravi Gururaj, Ashim Mehra,\\xc2\\xa0 Mohit Saxena, Internet Group, TNN Capital and others",Seed Funding,500000
2222,2015-09-11,iStar Skill Development,Skill Training Startup,Bangalore,"Michael & Susan Dell Foundation, Unitus Seed Fund",Private Equity,1500000
2223,2015-09-11,BigStylist.com,Beauty and Wellness Marketplace,Mumbai,Info Edge,Private Equity,1000000
2224,2015-09-11,Zilingo,Marketplace App for Bangkok,Bangalore/ Bangkok,"Sequoia India, BEENEXT Ventures, Kunal Shah & Sandeep Tandon",Private Equity,1900000
2225,2015-09-11,Didi,On-demand Maids Service Provider,Mumbai,"Jozef Bardik, Leo Wang Sangeeth Ram",Seed Funding,150000
2226,2015-09-11,Skoov.com,eCommerce Product Search Engine,Mumbai,undisclosed investor,Seed Funding,150000
2227,2015-10-11,Chefs Basket,Ready to cook packaged Foods,Mumbai,"SAIF Partners, Haresh Chawla",Private Equity,6000000
2228,2015-11-11,Gingercrush,Product Customization Platform,Vadodara,TV Mohandas Pai\\xe2\\x80\\x99s family office,Seed Funding,0
2229,2015-11-11,Delight Foods,Branded Food products online sales,Bangalore,"Lensbridge Capital, Mape Advisory Group, Fireside Ventures",Private Equity,600000
2230,2015-11-11,6Degree,Talent platform for Fashion professionals,Goa/Hyderabad,"Centre For Incubation & Business Acceleration (CIBA), Goa",Seed Funding,0
2231,2015-11-11,RenewBuy,Auto Insurance Online platform,Gurgaon,Mount Nathan Advisors Pte Ltd,Seed Funding,500000
2232,2015-11-11,Grab,Hyperlocal Logistics Service Provider,Mumbai,Sixth Sense Ventures,Seed Funding,0
2233,2015-12-11,Hitwicket,Cricket Management Mobile Game,Hyderabad,Chennai Angels,Seed Funding,250000
2234,2015-11-13,Flashdoor,On Demand Laundry Service platform,Bangalore,"Sujeet Kumar, Ankit Nagori, Traxcn Labs",Seed Funding,0
2235,2015-11-16,Cashkaro.com,Ecommerce Discount & Cashback coupons platform,Gurgaon,Kalaari Capital,Private Equity,3700000
2236,2015-11-16,Absentia,Virtual Reality Headset creator,Bangalore,"Astarc Ventures, 50K Ventures & others",Seed Funding,180000
2237,2015-11-16,Renowala,Home Improvement Service platform,Hyderabad,Logtally,Seed Funding,0
2238,2015-11-16,TaskBucks,mobile-only tasks marketplace,New Delhi,Times Internet,Private Equity,15000000
2239,2015-11-17,CraftsVilla,Women Ethnic Wear\\xc2\\xa0 Online Marketplace,Mumbai,"Sequoia India, Lightspeed Venture Partners, Nexus Venture Partners, Global Founders Capital, Apoletto",Private Equity,34000000
2240,2015-11-17,Julia Computing,Numerical Computing & Data Science Platform,Bangalore,Gordon and Betty Moore Foundation,Seed Funding,600000
2241,2015-11-17,StyleTag,Designer fashion Jewellery Marketplace,Bangalore,Jitu Virwani,Seed Funding,7500000
2242,2015-11-17,Smytten,Online Products Discovery Platform,Gurgaon,"Rimpal Chawla, Anuj Srivastava",Seed Funding,200000
2243,2015-11-17,BiBox,Kids Tool kit for Innovation platform,Bangalore,Ravi Krishnamurthy,Seed Funding,530000
2244,2015-11-17,Convegenius,Mobile Learning Solutions,Noida / Singapore,Enablers platform,Seed Funding,300000
2245,2015-11-18,Ola,Car Aggregator & Retail Mobile App,Bangalore,"Baillie Gifford, Falcon Edge Capital, Tiger Global, SoftBank Group, DST Global, Didi Kuaidi",Private Equity,500000000
2246,2015-11-18,Goodbox,conversational commerce mobile app,Bangalore,Nexus Venture Partners,Private Equity,2500000
2247,2015-11-18,ScoopWhoop,Viral Content web Platform,New Delhi,Kalaari Capital,Private Equity,4000000
2248,2015-11-18,Hipship,Express local delivery platform,Bangalore,"Inara Capital , Rishi Khiani",Seed Funding,0
2249,2015-11-18,Pickrr,On-Demand Local Logistics provider,New Delhi,Palaash Ventures,Seed Funding,0
2250,2015-11-18,Truelancer,Curated Freelancer Marketplace,New Delhi,"Blackstone Valley Group, Raghu Vohra, Aditya Dev Sood, Kamal Bansal",Seed Funding,0
2251,2015-11-19,AHA Taxis,Online Taxi Rental Platform,Noida,ah! Ventures,Seed Funding,0
2252,2015-11-19,UrbanClap,Mobile Services Marketplace,Gurgaon,"Bessemer Venture Partner, Accel, SAIF Partners",Private Equity,25000000
2253,2015-11-19,SenseGiz,Smartwatch Maker,Belgaum,Karnataka Semiconductor Venture Capital firm,Seed Funding,500000
2254,2015-11-19,PlaceofOrigin,Online Gourmet Food Marketplace,Bangalore,"S.D. Shibulal, Kris Gopalakrishnan, Srinath Batni, Professor Tarun Khanna,\\xc2\\xa0 Ganapathy Venugopal.",Seed Funding,0
2255,2015-11-19,Fourseven,Online Jewellery etailer,New Delhi,Indian Angel Network,Seed Funding,455000
2256,2015-11-20,MindTickle,Sales & Productivity Software,Pune / US,New Enterprise Associates,Private Equity,12500000
2257,2015-11-20,Shopsense,ecommerce related software product platform,Mumbai,"Kae Capital, Kunal Bahl, Rohit Bansal",Seed Funding,0
2258,2015-11-20,Medinfi,Health-Tech platform,Bangalore,"Ram Kumar Kakani, Pradeep K Jaisingh, Sunil T V, Vijay Ghadge, Hemant Kaul, Gurmeet Chahal & Others",Seed Funding,305000
2259,2015-11-20,OUWT,Nightlife Discovery Mobile App,Mumbai,Undisclosed investors,Seed Funding,150000
2260,2015-11-20,HeyPillow,Online Real Estate Marketplace,Bangalore,Hampton Capital,Private Equity,3000000
2261,2015-11-21,Healers At Home,"Home Healthcare Services platform,",New Delhi,"Daljit Singh, Dr. Pramath Raj Sinha, BVR Mohan Reddy",Seed Funding,0
2262,2015-11-21,Caravan Craft,Indian Ethnic Crafts Etailer,Bangalore,"Unitus Seed Fund, Bijou Kurien, Narayan Ramachandran",Private Equity,1200000
2263,2015-11-21,Talkoot,Social platform for traders and investors,Bangalore,Undisclosed investors,Seed Funding,100000
2264,2015-11-23,RentoMojo,"Online Furniture, Home Appliances Rental Platform",Bangalore,"IDG Ventures India,\\xc2\\xa0 Accel Partners India",Private Equity,2000000
2265,2015-11-23,Medikoe,Healthcare Services Discovery platform,Bangalore,Anil Menon,Seed Funding,100000
2266,2015-11-24,Stylofie,Health and Beauty Services Marketplace,Gurgaon,Swastika,Seed Funding,250000
2267,2015-11-24,ServX,Automotive Services platform,New Delhi,Manish Gupta,Seed Funding,0
2268,2015-11-24,Naaptol,Online and TV Shopping Marketplace,Mumbai,"Mitsui & Co., New Enterprise Associates, Canaan Partners, Silicon Valley Bank",Private Equity,52000000
2269,2015-11-24,Crayon Data,Big Data Analytics Platform,Chennai/ Singapore,Ratan Tata,Private Equity,0
2270,2015-11-25,EarlySalary.com,Mobile App based Loan disbursement platform,Mumbai,Ashok Agarwal,Seed Funding,1500000
2271,2015-11-25,Tooler,On Demand Laundry Services App,New Delhi,"Raghu Khanna, Sameer Gupta",Seed Funding,110000
2272,2015-11-25,S Chand,Education Content Provider,New Delhi,IFC Everstone Group,Private Equity,27000000
2273,2015-11-26,Stelae,Content Management Software Solutions,Chennai,Earlsfield Capital,Private Equity,0
2274,2015-11-26,GoQii,Fitness Tracking Management Solutions,Mumbai,"New Enterprise Associates, Cheetah Mobile",Private Equity,13400000
2275,2015-11-26,Grofers,Hyper-local Grocery Delivery platform,Gurgaon,"Softbank, Tiger Global, Sequoia Capital, Apoletto Managers",Private Equity,120000000
2276,2015-11-26,Pluss,Hyperlocal healthcare product Delivery Service provider,Gurgaon,"IDG Ventures, M & S partners, Powerhouse Ventures (USA).",Private Equity,1000000
2277,2015-11-26,KountMoney,Online Lending Marketplace,Bangalore,"Tracxn, Ashish Goenka & Others",Seed Funding,0
2278,2015-11-27,StayGlad,On Demand Beauty Services Platform,Bangalore,"Bessemer Venture Partners, Anil Chopra",Private Equity,0
2280,2015-11-27,Fastudent,Education Content etailer,Noida,Ashish Gupta,Seed Funding,0
2281,2015-11-27,LearnOn,Clud based Learning platform,Chennai,JMR Infotech India Pvt Ltd,Seed Funding,0
2282,2015-11-27,Talentrack,Talent Exchange & Talent Services Marketplace,New Delhi,Unigrowth Inc,Seed Funding,0
2283,2015-11-28,M-TAXI,Two-Wheeler Taxi Service,Gurgaon,"Mandeep Singh, Jairaj Singh",Seed Funding,0
2284,2015-11-30,Baxi,Two-Wheeler Taxi Service,Gurgaon,"Manish Kheterpal, Alok Mittal,\\xc2\\xa0 Puneet Dalmia,",Seed Funding,1450000
2285,2015-11-30,Superhero Brands,character merchandize sales platform,Mumbai,DSG Consumer Partners,Seed Funding,540000
2286,2015-11-30,MoMagic,Mobile Application Developer,New Delhi,FIH Mobile Ltd,Private Equity,0
2287,2015-11-30,QikPod,Ecommerce Delivery locker services,Bangalore,"Flipkart, Accel Partners, Delhivery, Foxconn",Private Equity,9000000
2288,2015-11-30,Butterfly Interactive,extra curricular activities marketplace app,New Delhi,Undisclosed investors,Seed Funding,0
2289,2015-11-30,Bro4U,Hyperlocal Online Home services provider,Bangalore,Sargod Ventures,Seed Funding,0
2290,2015-01-10,Indifi,Easy Business Loans platform,Gurgaon,"Accel Partners, Elevar Equity, Pramod Bhasin, Rajan Anandan, Gaurav Dalmia, Abhishek Goyal, Gagan Hasteer , Arun Tadanki",Seed Funding,0
2291,2015-01-10,Wydr,Performance based Wholesale Marketplace,New Delhi,Sandeep Aggarwal,Seed Funding,0
2292,2015-01-10,EasyFix,Professional Services Marketplace,Gurgaon,Axilor Ventures,Seed Funding,0
2293,2015-01-10,Muvizz,Movie-on-demand platform,Singapore,"Ashish Todi, Abhinav Patodia, Kumar Shwetabh",Seed Funding,350000
2294,2015-01-10,Abhibus,us ticketing and fleet management platform,Hyderabad,Paytm (One97 communications),Private Equity,0
2295,2015-01-10,Cleartax,Online Income Tax Filing platform,New Delhi,Paytm (One97 communications),Private Equity,0
2296,2015-02-10,Shopalyst,Product discovery & recommendation platform,Bangalore,Kalaari Capital,Private Equity,2000000
2297,2015-03-10,Chillr,Mobile Payments App,Mumbai,Sequoia Capital,Private Equity,6000000
2298,2015-05-10,Nykaa,Beauty & Wellness Products e-tailer,Mumbai,"Harsh Mariwala, Atul Nishar, Dalip Pathak, Michael Carlos",Private Equity,9500000
2299,2015-05-10,Voylla,Fashion jewelry and accessories e-tailer,Jaipur,Peepul Capital,Private Equity,15000000
2300,2015-05-10,IndiaLends,Online Consumer Lending platform,New Delhi,"DSG consumer Partners, Paragon Partners",Private Equity,1000000
2301,2015-05-10,Rock N Shop,Premium Apparel shopping portal,New Delhi,High Networth Individuals (undisclosed),Seed Funding,150000
2302,2015-06-10,DocPlexus,Exclusive Platform for Doctors & Healthcare professionals,Pune,"Uniqorn ventures, ASP Consulting",Seed Funding,700000
2303,2015-06-10,WorkIndia,Job Board,Mumbai,"Satyen Kothari, Keshav Sanghi, Riddhesh Gandhi & Others",Seed Funding,500000
2304,2015-06-10,SportzVillage,Sports Management & Physical Education Business,Bangalore,Gaja Capital Private Equity Fund,Private Equity,10000000
2305,2015-06-10,SportyBeans,multi-sport program for preschoolers,Pune,YouWeCan Ventures,Seed Funding,0
2306,2015-06-10,Burger Singh,QSR & Online delivery portal,Gurgaon,"Ashvin Chadha, Avtar Monga, Udaan Angels, Dheeraj Jain",Seed Funding,500000
2307,2015-06-10,Welcome Cure,Online Homeopathy Clinic,Mumbai,Unnamed Media house and HNIs,Private Equity,6000000
2308,2015-07-10,SchoolGuru,E-Learning Service Provider,Mumbai,High Networth Individuals from India & USA,Private Equity,3000000
2309,2015-07-10,Naturally Yours,Organic Food etailer,Mumbai,Sanjay Mehta,Seed Funding,0
2310,2015-07-10,GoJavas,Delivery & Logistics Service provider,Gurgaon,Snapdeal,Private Equity,20000000
2311,2015-07-10,Scandid,Product Discovery & comparison App,Pune,Micromax Informatics,Private Equity,0
2312,2015-07-10,StalkBuyLove,Online Apparels Fashion brand,New Delhi,"Mato Peric, Peter Kabel & others",Private Equity,0
2313,2015-08-10,ZuperMeal,Home Cooked Food marketplace & Delivery,Mumbai,"Sanjeev Kapoor,\\xc2\\xa0 Ravi Saxena & Others",Private Equity,2000000
2314,2015-08-10,Cube26,Gesture based Mobile Development,New Delhi,"Tiger Global Management, Flipkart",Private Equity,7700000
2315,2015-08-10,Mobikon,Hotel Mobile CRM Software platform,Pune / Singapore,"Life.SREDA, Qualgro",Private Equity,0
2316,2015-08-10,Grabhouse,Rental Accommodation Search platform,Bangalore,Sequoia and Kalaari Capital.,Private Equity,10000000
2317,2015-08-10,Quifers,Logistics Tech Platform,Mumbai,"Vikas Agarwal, Vishal Khare, Sanjeev Kakkar, Smile Group",Seed Funding,310000
2318,2015-09-10,Stockroom.io,Developer Portfolio Showcase platform,Hyderabad,Undisclosed Investors,Seed Funding,70000
2319,2015-09-10,Curofy,Doctors Network Mobile App,New Delhi,RoundGlass Partners,Private Equity,0
2320,2015-09-10,Cloud Lending,End-to-End Lending platform,Bangalore / San Mateo,SF Capital Group,Private Equity,8000000
2321,2015-09-10,Inayo,on-demand healthcare marketplace,Mumbai,"Kemark Ventures, Amit Ranjan, Zishaan Hayath and Others",Seed Funding,300000
2322,2015-09-10,WoNoBo,360-degree view creating platform,Bangalore,Quikr,Private Equity,0
2323,2015-09-10,Kulzy,Advertising & Marketing Community Networking platform,New Delhi,"Seedfund, Bedrock Ventures",Seed Funding,1000000
2324,2015-09-10,Zeppery,Food Ordering & Delivery App,New Delhi,Suyash Sharma,Seed Funding,77000
2325,2015-12-10,Zify,Ride Sharing platform,Hyderabad,Sean O\\xe2\\x80\\x99Sullivan & Others,Seed Funding,190000
2326,2015-12-10,Faircent,Online P2P lending marketplace,Gurgaon,Aarin Capital Partners,Private Equity,0
2327,2015-12-10,Bizongo,B2B marketplace for industrial goods,Mumbai,Accel Partners,Seed Funding,0
2328,2015-12-10,Gridle,Cloud Based Collaboration platform,Ahmedabad,LetsVenture,Seed Funding,100000
2329,2015-12-10,Tripoto,global community for travellers,New Delhi,"500 Startups, IDG Ventures & Advantedge fund, Neeraj Arora, Leon Seynave",Private Equity,0
2330,2015-12-10,Mubble,Prepaid Bill manager App,Bangalore,Accel Partners,Private Equity,0
2331,2015-10-13,Voodoo,Mobile Only Shopping Assistant,New Delhi,SAIF Partners,Seed Funding,1000000
2332,2015-10-13,Lookup,Mobile Messaging Assistant App,Bangalore,"Khosla Impact, Biz Stone, Catamaran Ventures, Global Founders Capital, European investment fund",Private Equity,2500000
2333,2015-10-14,AskMyGift,Personalized Wish List creator app,Noida,Turning Ideas,Seed Funding,50000
2334,2015-10-14,Gaana.com,Music Streaming mobile app,Mumbai,Micromax Informatics Ltd,Private Equity,0
2335,2015-10-14,Zappfresh,Raw Meat & Ready to eat food etailer,Gurgaon,Undisclosed Investors,Seed Funding,77000
2336,2015-10-14,GymTrekker,Gym Discovery platform,Mumbai,"Dewang Neralla,Roopak Taneja, Manisha Gupta",Seed Funding,0
2337,2015-10-15,Bounty App,Online Purchase rewards app,Bangalore,"Fireside Ventures, Mumbai Angels MAPE Advisory Group.",Seed Funding,0
2338,2015-10-16,Homers.in,Home rental platform,Gurgaon,"Devesh Rai G, Rajesh Aggarwal, Amitpal Bhutani",Seed Funding,0
2339,2015-10-16,mShipper,Crowdsourced Delivery platform,New Delhi,Vijai Laxmi,Seed Funding,0
2340,2015-10-16,BolRealty,Real Estate Insights platform,New Delhi,Manpreet Singh,Seed Funding,0
2341,2015-10-17,S-Cube Futuretech,Structural & Civil Engg Service Automation,Mumbai,Parampara Capital,Private Equity,1000000
2342,2015-10-19,LetsVenture,Startup Funding Marketplace,Bangalore,"Accel Partners, Anupam Mittal & other marquee investors",Private Equity,0
2343,2015-10-19,Citrus Payment,Payments Solution platform,Mumbai,"Sequoia Capital, Ascent Capital, eContext Asia, Beenos Asia",Private Equity,25000000
2344,2015-10-19,Holidify,Travel Destination Discovery platform,New Delhi,Aarti Group,Seed Funding,100000
2345,2015-10-20,PrimaSeller,Order Fulfillment SAAS platform,Bangalore,"Dr. Aniruddha Malpani Manish Gupta, M&S Partners & others",Seed Funding,0
2346,2015-10-20,Opinio,Last Mile Delivery Service,Bangalore,"Delhivery, Sands Capital and Accel Partners",Private Equity,7000000
2347,2015-10-20,Attune Technologies,Healthcare IT Solutions & services,Chennai,"Qualcomm Venture, Norwest Venture Partners",Private Equity,10000000
2348,2015-10-20,iChef.in,Gourmet Meals Delivery,Mumbai,Springboard Ventures,Private Equity,0
2349,2015-10-21,Jiyo Natural,Healthy Meals Food delivery platform,Bangalore,Indian Angel Network,Seed Funding,0
2350,2015-10-21,AgentDesks,Real Estate Mobile CRM,New York/ India,"Sierra Ventures, Cota Capital, Vegas Tech Fund",Seed Funding,2950000
2351,2015-10-21,White Owl Brewery,Micro-Brewery,Mumbai,"Arihant Patni, RAAY Global Investments",Private Equity,1530000
2352,2015-10-21,MealHopper,Home Made Food Marketplace,Gurgaon,"Alok Bajpai, Rajnish Kumar, Amit Dey",Seed Funding,100000
2353,2015-10-21,Zenify.in,residential rental management platform,Bangalore,"Atul Jalan, Shrikanth & Bharath",Seed Funding,640000
2354,2015-10-21,Stockal,Personalized Stock Intelligence Platform,Bangalore,"R Natarajan, Mohan Alexander",Seed Funding,0
2355,2015-10-23,Medd,Personal Diagnostic Mobile App,Mumbai,Group of Angel investors,Seed Funding,150000
2356,2015-10-23,Leaping Caravan,Online food ordering & Delivery service,Gurgaon,Group of Angel investors,Seed Funding,150000
2357,2015-10-23,Frsh,Online food ordering & Delivery service,Gurgaon,"Mumbai Angels, Mayank Bhangdia, Kae Capital",Private Equity,1000000
2358,2015-10-23,Qik Stay,Hotel Aggregator & booking platform,New Delhi,ID Enablers Pvt Ltd,Seed Funding,250000
2359,2015-10-26,Parcelled,Online Logistics Platform,Bangalore,Delhivery,Private Equity,5000000
2360,2015-10-26,AlmaMapper,Online Student & Campus Social Networking platform,Ahmedabad,Oswal Techno Ventures LLP,Seed Funding,400000
2361,2015-10-26,Flexing It,Professionals & Project Search Marketplace,New Delhi,undisclosed private investors,Seed Funding,500000
2362,2015-10-26,Netmeds.com,Online Pharmacy,Chennai,"OrbiMed, Pradip Dadha Group",Private Equity,50000000
2363,2015-10-26,Razorpay,Online Payment Gateway,Jaipur,"Tiger Global Management, Matrix Partners",Private Equity,9000000
2364,2015-10-27,Jombay,Psychometric Test Online Software,Pune,Ventureworks India,Private Equity,0
2365,2015-10-27,Happitoo,Location based Nightlife recommendation\\xc2\\xa0 Platform,Mumbai,Unnamed investor,Seed Funding,77000
2366,2015-10-27,Care24,Professional Health Services Platform,Mumbai,India Quotient,Seed Funding,350000
2367,2015-10-27,Roadrunnr,Hyperlocal Logistics Service,Bangalore,"Sequoia Capital, Nexus Venture Partners",Private Equity,10000000
2368,2015-10-27,Simpli5d,Online user engagement platform,Gurgaon,"Redcliffe Capital, YourNest Angel Fund",Private Equity,0
2369,2015-10-28,ORIGA Leasing,Asset Financing platform,Mumbai,"ah! Ventures, 500 Startups & Other HNIs",Seed Funding,1100000
2370,2015-10-28,Smartivity.in,Virtual Reality activity based learning platform,New Delhi,S Chand and Co Pvt Ltd,Seed Funding,200000
2371,2015-10-28,UrDoorStep,Online Grocery Store,Bangalore,Jupiter Capital,Private Equity,0
2372,2015-10-29,Tavaga,Investment management platform,Mumbai,Tracxn Syndicate,Seed Funding,0
2373,2015-10-29,Moglix,Industrial Toons Marketplace,Noida,"Accel Partner, Jungle Ventures",Private Equity,0
2374,2015-10-29,ZopHop,Public Commute helper App,Mumbai,"Amit Singhal, PK Gulati & others",Seed Funding,450000
2375,2015-10-30,Niki.ai,Artificial Intelligence Ecommerce Chatbot,Bangalore,Unilazer Ventures,Seed Funding,0
2376,2015-10-30,Instavans,Truck Aggregator & Logistics service,Bangalore,Suresh Vaswani,Seed Funding,0
2377,2015-10-30,LiftO,Ridesharing Mobile app,Mumbai,"Rajesh Bhatia, Dheeraj Mehta & Others",Seed Funding,130000
2378,2015-10-30,TinyOwl,Food Discovery & Delivery Mobile app,Mumbai,"Sequoia Capital, Matrix Partners",Private Equity,7500000
2379,2015-10-30,Toppr.com,Competitive exam learning platform,Mumbai,InnoVen Capital,Private Equity,2000000
2380,2015-10-30,Kleeto,Document Digitization platform,Gurgaon,GREX,Seed Funding,230000
2381,2015-10-30,BeaconsTalk,proximity marketing & Mobile Advertising platform,Mumbai,Puneet Bhatia & others,Seed Funding,80000
2382,2015-10-31,Jugnoo,Autorickshaw Aggregator & Booking platform,Chandigarh,Paytm,Private Equity,10000000
2383,2015-01-09,TOFlo,FinTech Startup Incubation platform,Mumbai,Tania Johny Palathinkal,Seed Funding,100000
2384,2015-01-09,FXMartIndia,Payment Services platform,Chandigarh,Flipkart,Private Equity,0
2385,2015-01-09,Stylecracker,Personalized Styling platform,Mumbai,Group of HNI investors,Private Equity,1000000
2386,2015-01-09,Luxuryhues,Luxury goods\\xc2\\xa0 Shopping Platform,Gurgaon,Reliance Capital,Private Equity,900000
2387,2015-02-09,HolaChef,Food Delivery Platform,Mumbai,Ratan Tata,Private Equity,0
2388,2015-02-09,Zivame,Online Lingerie Marketplace,Bangalore,"Zodius Technology Fund, Khazanah Nasional Berhad",Private Equity,40000000
2389,2015-02-09,Capillary Tech,Cloud software solutions,New Delhi,"Warburg Pincus, Sequoia Capital, Norwest Venture Partners",Private Equity,45000000
2390,2015-03-09,Jobspire,Job Search Platform,Bangalore,Purvi Capital,Seed Funding,260000
2391,2015-03-09,MeraDoctor,Doctor consultancy Mobile App,Mumbai,India Quotient & other investors,Seed Funding,0
2392,2015-03-09,Vistaar Finance,Small Business Financing (NBFC),Bangalore,"WestBridge Capital, Omidyar Network, Elevar Equity, Saama Capital,\\xc2\\xa0 Lok Capital",Private Equity,40000000
2393,2015-03-09,HiJinny,Beauty & Wellness Services Marketplace,Mumbai,CMYK Health Boutique Pvt Ltd & Other individual investors,Seed Funding,0
2394,2015-04-09,Clapsnslaps,Online Movie Review Platform,Mumbai,R M Picture Company Pvt. Ltd.,Seed Funding,150000
2395,2015-04-09,Blubox,ECommerce Brands\\xe2\\x80\\x99 Full Service Agency,Mumbai,Ashish Jhalani,Seed Funding,100000
2396,2015-04-09,RoomCentral,Cloud-based Hotel Booking Platform,Bangalore,Karanpal Singh,Seed Funding,2000000
2397,2015-07-09,YouthKiAwaaz,Community Driven News/Views Platform,New Delhi,"Raghav Bahl, Ritu Kapur",Seed Funding,600000
2398,2015-07-09,Prozo,Study Material Marketplace,New Delhi,"Nalin Jain, Shomil Pant, Dinesh Kundu & others",Seed Funding,205000
2399,2015-07-09,Zomato,Restaurant Ratings & Reviews platform,Gurgaon,"Temasek, Vy Capital",Private Equity,60000000
2400,2015-07-09,Sahayog Dairy,Dairy Based Product Manufacturer,Bhopal,Acumen Fund,Private Equity,1800000
2401,2015-08-09,MockBank,Government Test Preparation platform,Bangalore,Blume Ventures,Seed Funding,400000
2402,2015-08-09,ReportBee,Smart Report Cards for Schools,Chennai,India Educational Investment Fund,Seed Funding,0
2403,2015-08-09,GuruG Learning,Teacher empowerment platform,Bangalore,India Educational Investment Fund,Seed Funding,0
2404,2015-10-09,OnlineTyari,Multilingual Test Preparation Platform,Gurgaon,"500 Startups, TV Mohandas Pai, Tandem Capital, Vikram Chachra, Aloke Bajpai",Private Equity,770000
2405,2015-10-09,IndustryBuying,Industrial Tools Marketplace,New Delhi,"Kalaari Capital, SAIF Partners, Beenextan investment fund",Private Equity,9200000
2406,2015-10-09,The/Nudge Foundation,Non Profit Organization to alleviate poverty,Bangalore,"Nanadan Nilekani, InMobi, Paytm",Seed Funding,315000
2407,2015-11-09,FitMeIn,Gym & Fitness Studios Subscription platform,New Delhi,Green House Ventures,Seed Funding,100000
2408,2015-11-09,Envoged,pre-used luxury item Marketplace,Mumbai,"Ankush Nijhawan, Manish Dhingra, Gaurav Bhatnagar",Seed Funding,0
2410,2015-11-09,Renomania,Home Design & D\\xc3\\xa9cor platform,New Delhi,Subodh Gupta,Seed Funding,0
